id,name,manaCost,colors,type,power,toughness,artist,keywords,originalText,flavorText
172,"Ooze Patrol","{3}{G}","G","Creature — Ooze","2","2","Forrest Schehl","Mill","When this creature enters, mill two cards, then put a +1/+1 counter on this creature for each artifact and/or creature card in your graveyard. (To mill two cards, put the top two cards of your library into your graveyard.)","As it digested the demonic roadster, it too learned the thrill of speed."
173,"Oviya, Automech Artisan","{3}{G}","G","Legendary Creature — Human Artificer","1","2","Julia Metzger","","Each creature that's attacking one of your opponents has trample.\n{G}, {T}: You may put a creature or Vehicle card from your hand onto the battlefield. If you put an artifact onto the battlefield this way, put two +1/+1 counters on it.",""
174,"Plow Through","{G}","G","Sorcery","","","Brian Valeza","Fight","Choose one —\n• Target creature you control fights target creature an opponent controls. (Each deals damage equal to its power to the other.)\n• Destroy target Vehicle.","Like most goblins, Rocketeers value nothing more than a good old-fashioned near-death experience."
175,"Point the Way","{G}","G","Enchantment","","","Izzy","Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\n{3}{G}, Sacrifice this enchantment: Search your library for up to X basic land cards, where X is your speed. Put those cards onto the battlefield tapped, then shuffle.",""
176,"Pothole Mole","{2}{G}","G","Creature — Mole","2","3","Daren Bader","Mill","When this creature enters, mill three cards, then you may return a land card from your graveyard to your hand. (To mill three cards, put the top three cards of your library into your graveyard.)","""Someone please call pest control. Again.""\n—Termin, track designer"
177,"Regal Imperiosaur","{1}{G}{G}","G","Creature — Dinosaur","5","4","Stephanie Cheung","","Other Dinosaurs you control get +1/+1.","Initially frustrated by Muraganda's inconsistent biodiversity, Avishkari researchers made a breakthrough after mapping the plane's aetheric index—the wide variety of fauna was the result of raw magic, not evolution."
178,"Rise from the Wreck","{2}{G}","G","Sorcery","","","Nino Is","","Return up to one target creature card, up to one target Mount card, up to one target Vehicle card, and up to one target creature card with no abilities from your graveyard to your hand.",""
179,"Run Over","{1}{G}","G","Instant","","","Tuan Duong Chu","","This spell costs {1} less to cast if it targets a Mount or Vehicle you control.\nTarget creature you control deals damage equal to its power to target creature an opponent controls.",""
180,"Silken Strength","{1}{G}","G","Enchantment — Aura","","","Olivier Bernard","Enchant,Flash","Flash\nEnchant creature or Vehicle\nWhen this Aura enters, untap enchanted permanent.\nEnchanted permanent gets +1/+2 and has reach.",""
181,"Stampeding Scurryfoot","{G}","G","Creature — Mouse","1","1","Julia Metzger","Exhaust","Exhaust — {3}{G}: Put a +1/+1 counter on this creature. Create a 3/3 green Elephant creature token. (Activate each exhaust ability only once.)","All creatures great and small contribute to the stampede."
182,"Terrian, World Tyrant","{2}{G}{G}{G}","G","Legendary Creature — Dinosaur Ooze","9","7","Nicholas Gregory","","","The Fang Druids call it the World Tyrant, for it has consumed entire ecosystems that it keeps suspended in its core. To look upon it is to see the world as it was eons ago."
183,"Thunderous Velocipede","{1}{G}{G}","G","Artifact — Vehicle","5","5","Adrián Rodríguez Pérez","Crew,Trample","Trample\nEach other Vehicle and creature you control enters with an additional +1/+1 counter on it if its mana value is 4 or less. Otherwise, it enters with three additional +1/+1 counters on it.\nCrew 3",""
184,"Veloheart Bike","{2}{G}","G","Artifact — Vehicle","4","2","Anthony Devine","Crew","When this Vehicle enters, you gain 2 life.\n{T}: Add one mana of any color.\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",""
185,"Venomsac Lagac","{1}{G}","G","Creature — Lizard Mount","2","1","Andrey Kuzinskiy","Deathtouch,Saddle","Deathtouch\nWhenever this creature attacks while saddled, it gets +0/+3 until end of turn.\nSaddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",""
186,"Webstrike Elite","{G}{G}","G","Creature — Insect Archer","3","3","Andrew Mar","Cycling,Reach","Reach\nCycling {X}{G}{G} ({X}{G}{G}, Discard this card: Draw a card.)\nWhen you cycle this card, destroy up to one target artifact or enchantment with mana value X.",""
187,"Aatchik, Emerald Radian","{3}{B}{B}{G}","B,G","Legendary Creature — Insect Druid","3","3","Loïc Canavaggia","","When Aatchik enters, create a 1/1 green Insect creature token for each artifact and/or creature card in your graveyard.\nWhenever another Insect you control dies, put a +1/+1 counter on Aatchik. Each opponent loses 1 life.",""
188,"Apocalypse Runner","{2}{B}{R}","B,R","Artifact — Vehicle","6","5","Aaron J. Riley","Crew","{T}: Target creature you control with power 2 or less gains lifelink until end of turn and can't be blocked this turn.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)","""Don't avoid the wreck. Survive it.""\n—Far Fortune"
189,"Boom Scholar","{1}{R}{G}","G,R","Creature — Goblin Advisor","3","3","Brian Valeza","Exhaust","Exhaust abilities of other permanents you control cost {2} less to activate.\nExhaust — {4}{R}{G}: Creatures and Vehicles you control gain trample until end of turn. Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)",""
190,"Boosted Sloop","{1}{U}{R}","R,U","Artifact — Vehicle","3","3","José Parodi","Crew,Menace","Menace\nWhenever you attack, draw a card, then discard a card.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",""
191,"Brightglass Gearhulk","{G}{G}{W}{W}","G,W","Artifact Creature — Construct","4","4","José Parodi","First strike,Trample","First strike, trample\nWhen this creature enters, you may search your library for up to two artifact, creature, and/or enchantment cards with mana value 1 or less, reveal them, put them into your hand, then shuffle.","""A new day dawns for Avishkar, and we shall draw our power from its light."""
192,"Broadside Barrage","{1}{U}{R}","R,U","Instant","","","Javier Charro","","Broadside Barrage deals 5 damage to target creature or planeswalker. Draw a card, then discard a card.","""Let's show 'em how the Keelhaulers say hello!"""
193,"Broodheart Engine","{B}{G}","B,G","Artifact","","","Rémi Jacquot","Surveil","At the beginning of your upkeep, surveil 1.\n{2}{B}{G}, {T}, Sacrifice this artifact: Return target creature or Vehicle card from your graveyard to the battlefield. Activate only as a sorcery.","The only honor greater than piloting a Speedbrood vehicle is becoming one yourself."
194,"Captain Howler, Sea Scourge","{2}{U}{R}","R,U","Legendary Creature — Shark Pirate","5","4","Mirko Failoni","Ward","Ward—{2}, Pay 2 life.\nWhenever you discard one or more cards, target creature gets +2/+0 until end of turn for each card discarded this way. Whenever that creature deals combat damage to a player this turn, you draw a card.",""
195,"Caradora, Heart of Alacria","{2}{G}{W}","G,W","Legendary Creature — Human Knight","4","2","Mirko Failoni","","When Caradora enters, you may search your library for a Mount or Vehicle card, reveal it, put it into your hand, then shuffle.\nIf one or more +1/+1 counters would be put on a creature or Vehicle you control, that many plus one +1/+1 counters are put on it instead.",""
196,"Cloudspire Coordinator","{R}{W}","R,W","Creature — Human Pilot","3","1","Eduardo Francisco","Scry","When this creature enters, scry 2.\n{T}: Create X 1/1 colorless Pilot creature tokens, where X is the number of Mounts and/or Vehicles that entered the battlefield under your control this turn. The tokens have ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""",""
197,"Cloudspire Skycycle","{2}{R}{W}","R,W","Artifact — Vehicle","2","3","Hardy Fowler","Crew,Flying","Flying\nWhen this Vehicle enters, distribute two +1/+1 counters among one or two other target Vehicles and/or creatures you control.\nCrew 1","For Team Cloudspire, the track is merely a suggestion."
198,"Coalstoke Gearhulk","{1}{B}{B}{R}{R}","B,R","Artifact Creature — Construct","5","4","Nino Vecia","Deathtouch,Menace","Menace, deathtouch\nWhen this creature enters, put target creature card with mana value 4 or less from a graveyard onto the battlefield under your control with a finality counter on it. That creature gains menace, deathtouch, and haste. At the beginning of your next end step, exile that creature.",""
199,"Debris Beetle","{2}{B}{G}","B,G","Artifact — Vehicle","6","6","Julie Dillon","Crew,Trample","Trample\nWhen this Vehicle enters, each opponent loses 3 life and you gain 3 life.\nCrew 2","Many brought weapons to the race. This crew built theirs as they went."
200,"Dune Drifter","{X}{W}{B}","B,W","Artifact — Vehicle","3","3","Simon Dominic","Crew","When this Vehicle enters, return target artifact or creature card with mana value X or less from your graveyard to the battlefield.\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)","It was easy for them to replace lost crew members once they reached home turf."
201,"Embalmed Ascendant","{1}{W}{B}","B,W","Creature — Zombie","1","2","Edgar Sánchez Hidalgo","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nWhen this creature enters, create a 2/2 black Zombie creature token.\nMax speed — Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.",""
202,"Explosive Getaway","{3}{R}{W}","R,W","Sorcery","","","Caio Monteiro","","Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.\nExplosive Getaway deals 4 damage to each creature.","Loot decided he liked these rescuers much more than the last ones."
203,"Far Fortune, End Boss","{2}{B}{R}","B,R","Legendary Creature — Human Mercenary","4","5","Javier Charro","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nWhenever you attack, Far Fortune deals 1 damage to each opponent.\nMax speed — If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus 1 instead.",""
204,"Fearless Swashbuckler","{1}{U}{R}","R,U","Creature — Fish Pirate","3","3","Konstantin Porubov","Haste","Haste\nVehicles you control have haste.\nWhenever you attack, if a Pirate and a Vehicle attacked this combat, draw three cards, then discard two cards.",""
205,"Gastal Thrillseeker","{B}{R}","B,R","Creature — Lizard Berserker","2","3","Olivier Bernard","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nWhen this creature enters, it deals 1 damage to target opponent and you gain 1 life.\nMax speed — This creature has deathtouch and haste.",""
206,"Guidelight Pathmaker","{4}{W}{U}","U,W","Artifact — Vehicle","6","5","Stephan Martiniere","Crew,Vigilance","Vigilance\nWhen this Vehicle enters, you may search your library for an artifact card and reveal it. Put it onto the battlefield if its mana value is 2 or less. Otherwise, put it into your hand. Then shuffle.\nCrew 2",""
207,"Haunt the Network","{3}{U}{B}","B,U","Sorcery","","","Jeff Carpenter","","Choose target opponent. Create two 1/1 colorless Thopter artifact creature tokens with flying. Then the chosen player loses X life and you gain X life, where X is the number of artifacts you control.",""
208,"Haunted Hellride","{1}{U}{B}","B,U","Artifact — Vehicle","3","3","Olivier Bernard","Crew","Whenever you attack, target creature you control gets +1/+0 and gains deathtouch until end of turn. Untap it.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",""
209,"Ketramose, the New Dawn","{1}{W}{B}","B,W","Legendary Creature — God","4","4","Maaz Ali Khan","Indestructible,Lifelink,Menace","Menace, lifelink, indestructible\nKetramose can't attack or block unless there are seven or more cards in exile.\nWhenever one or more cards are put into exile from graveyards and/or the battlefield during your turn, you draw a card and lose 1 life.","Let the past die so the future might live."
210,"Kolodin, Triumph Caster","{R}{W}","R,W","Legendary Creature — Human Pilot","2","3","Michal Ivan","","Mounts and Vehicles you control have haste.\nWhenever a Mount you control enters, it becomes saddled until end of turn.\nWhenever a Vehicle you control enters, it becomes an artifact creature until end of turn.","""Stay in formation! We win this together, or not at all."""
211,"Lagorin, Soul of Alacria","{G}{W}","G,W","Legendary Creature — Beast Mount","1","1","Mirko Failoni","Flying,Saddle","Flying\nWhenever Lagorin attacks while saddled, put a +1/+1 counter on each of up to two target Mounts and/or Vehicles.\nSaddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",""
212,"Loot, the Pathfinder","{2}{G}{U}{R}","G,R,U","Legendary Creature — Beast Noble","2","4","Ernanda Souza","Double strike,Exhaust,Haste,Vigilance","Double strike, vigilance, haste\nExhaust — {G}, {T}: Add three mana of any one color. (Activate each exhaust ability only once.)\nExhaust — {U}, {T}: Draw three cards.\nExhaust — {R}, {T}: Loot deals 3 damage to any target.",""
213,"Mendicant Core, Guidelight","{W}{U}","U,W","Legendary Artifact Creature — Robot","*","3","Zezhou Chen","Max speed,Start your engines!","Mendicant Core's power is equal to the number of artifacts you control.\nStart your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nMax speed — Whenever you cast an artifact spell, you may pay {1}. If you do, copy it. (The copy becomes a token.)",""
214,"Mimeoplasm, Revered One","{X}{B}{G}{U}","B,G,U","Legendary Creature — Ooze","0","0","Ron Spencer","","As Mimeoplasm enters, exile up to X creature cards from your graveyard. It enters with three +1/+1 counters on it for each creature card exiled this way.\n{2}: Mimeoplasm becomes a copy of target creature card exiled with it, except it's 0/0 and has this ability.",""
215,"Oildeep Gearhulk","{U}{U}{B}{B}","B,U","Artifact Creature — Construct","4","4","Artur Nakhodkin","Lifelink,Ward","Lifelink, ward {1}\nWhen this creature enters, look at target player's hand. You may choose a card from it. If you do, that player discards that card, then draws a card.","Oil-actuated inventions raised eyebrows after the Invasion, but no one could argue against the efficacy of the design."
216,"Pyrewood Gearhulk","{2}{R}{R}{G}{G}","G,R","Artifact Creature — Construct","7","7","Martin de Diego Sádaba","Menace,Vigilance","Vigilance, menace\nWhen this creature enters, other creatures you control get +2/+2 and gain vigilance and menace until end of turn. Damage can't be prevented this turn.","A mighty memorial to a fallen savior."
217,"Rangers' Aetherhive","{1}{G}{U}","G,U","Artifact — Vehicle","3","5","Josiah ""Jo"" Cameron","Crew,Vigilance","Vigilance\nWhenever you activate an exhaust ability, create a 1/1 colorless Thopter artifact creature token with flying.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",""
218,"Redshift, Rocketeer Chief","{R}{G}","G,R","Legendary Creature — Goblin Pilot","2","3","Wayne Reynolds","Exhaust,Vigilance","Vigilance\n{T}: Add X mana of any one color, where X is Redshift's power. Spend this mana only to activate abilities.\nExhaust — {10}{R}{G}: Put any number of permanent cards from your hand onto the battlefield. (Activate each exhaust ability only once.)",""
219,"Riptide Gearhulk","{1}{W}{W}{U}{U}","U,W","Artifact Creature — Construct","2","5","Artur Nakhodkin","Double strike,Prowess","Double strike\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen this creature enters, for each opponent, put up to one target nonland permanent that player controls into its owner's library third from the top.",""
220,"Rocketeer Boostbuggy","{R}{G}","G,R","Artifact — Vehicle","3","2","Chris Seaman","Crew,Exhaust,Treasure","Whenever this Vehicle attacks, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")\nExhaust — {3}: This Vehicle becomes an artifact creature. Put a +1/+1 counter on it. (Activate each exhaust ability only once.)\nCrew 1",""
221,"Sab-Sunen, Luxa Embodied","{3}{G}{U}","G,U","Legendary Creature — God","6","6","Valera Lutfullina","Indestructible,Reach,Trample","Reach, trample, indestructible\nSab-Sunen can't attack or block unless it has an even number of counters on it. (Zero is even.)\nAt the beginning of your first main phase, put a +1/+1 counter on Sab-Sunen. Then if it has an odd number of counters on it, draw two cards.",""
222,"Samut, the Driving Force","{3}{R}{G}{W}","G,R,W","Legendary Creature — Human Warrior Cleric","4","5","Chris Rallis","First strike,Haste,Start your engines!,Vigilance","First strike, vigilance, haste\nStart your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nOther creatures you control get +X/+0, where X is your speed.\nNoncreature spells you cast cost {X} less to cast, where X is your speed.",""
223,"Sita Varma, Masked Racer","{G}{U}","G,U","Legendary Creature — Human Rogue","2","3","Kai Carpenter","Exhaust","Exhaust — {X}{G}{G}{U}: Put X +1/+1 counters on Sita Varma. Then you may have the base power and toughness of each other creature you control become equal to Sita Varma's power until end of turn. (Activate each exhaust ability only once.)",""
224,"Skyserpent Seeker","{G}{U}","G,U","Creature — Snake","1","1","Johan Grenier","Deathtouch,Exhaust,Flying","Flying, deathtouch\nExhaust — {4}: Reveal cards from the top of your library until you reveal two land cards. Put those land cards onto the battlefield tapped and the rest on the bottom of your library in a random order. Put a +1/+1 counter on this creature. (Activate each exhaust ability only once.)",""
225,"Thundering Broodwagon","{2}{B}{B}{G}{G}","B,G","Artifact — Vehicle","6","5","Bartek Fedyczak","Crew,Cycling,Menace,Reach","Menace, reach\nWhen this Vehicle enters, destroy target nonland permanent an opponent controls with mana value 4 or less.\nCrew 3\nCycling {2} ({2}, Discard this card: Draw a card.)",""
226,"Veteran Beastrider","{1}{G}{W}","G,W","Creature — Human Knight","3","4","Andreia Ugrai","","At the beginning of your end step, untap each creature you control.\n{2}{G}{W}: Creatures you control get +1/+1 until end of turn.","""Your enemies will underestimate you, but you must never underestimate yourself."""
227,"Voyage Home","{5}{W}{U}","U,W","Sorcery","","","Hardy Fowler","Affinity","Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nYou draw three cards and gain 3 life.","""Observation: At current rate of travel, eventual rediscovery of home is a mathematical inevitability. Firm imperative: Let's go."""
228,"Winter, Cursed Rider","{U}{B}","B,U","Legendary Creature — Human Warlock","3","2","Daren Bader","Exhaust,Ward","Ward—\nPay 2 life.\nArtifacts you control have ""Ward—\nPay 2 life.""\nExhaust — {2}{U}{B}, {T}, Exile X artifact cards from your graveyard: Each other nonartifact creature gets -X/-X until end of turn. (Activate each exhaust ability only once.)",""
229,"Zahur, Glory's Past","{W}{B}","B,W","Legendary Creature — Zombie Cat Warrior","3","2","Leroy Steinmann","Max speed,Start your engines!,Surveil","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nSacrifice another creature: Surveil 1. Activate only once each turn.\nMax speed — Whenever a nontoken creature you control dies, create a tapped 2/2 black Zombie creature token.",""
230,"Aetherjacket","{3}","","Artifact Creature — Thopter","2","1","Domenico Cava","Flying,Vigilance","Flying, vigilance\n{2}, {T}, Sacrifice this creature: Destroy another target artifact. Activate only as a sorcery.","The Sting Strike model saved thousands of lives during the Invasion and quickly became a bestseller for Shadowblayde Craftworks."
231,"The Aetherspark","{4}","","Legendary Artifact Planeswalker — Equipment","","","Donato Giancola","","As long as The Aetherspark is attached to a creature, The Aetherspark can't be attacked and has ""Whenever equipped creature deals combat damage during your turn, put that many loyalty counters on The Aetherspark.""\n+1: Attach The Aetherspark to up to one target creature you control. Put a +1/+1 counter on that creature.\n−5: Draw two cards.\n−10: Add ten mana of any one color.",""
232,"Camera Launcher","{3}","","Artifact Creature — Construct","2","2","Ben Wootten","Exhaust","Exhaust — {3}: Put a +1/+1 counter on this creature. Create a 1/1 colorless Thopter artifact creature token with flying. (Activate each exhaust ability only once.)","Vnwxt's contract demanded at least one dedicated camera on him at all times."
233,"Guidelight Matrix","{2}","","Artifact","","","Eli Minaya","","When this artifact enters, draw a card.\n{2}, {T}: Target Mount you control becomes saddled until end of turn. Activate only as a sorcery.\n{2}, {T}: Target Vehicle you control becomes an artifact creature until end of turn.",""
234,"Lifecraft Engine","{3}","","Artifact — Vehicle","4","4","Mirko Failoni","Crew","As this Vehicle enters, choose a creature type.\nVehicle creatures you control are the chosen creature type in addition to their other types.\nEach creature you control of the chosen type other than this Vehicle gets +1/+1.\nCrew 3",""
235,"Marketback Walker","{X}{X}","","Artifact Creature — Construct","0","0","Svetlin Velinov","","This creature enters with X +1/+1 counters on it.\n{4}: Put a +1/+1 counter on this creature.\nWhen this creature dies, draw a card for each +1/+1 counter on it.","Many of the inventions built to fight the Phyrexians have since been repurposed for civilian use."
236,"Marshals' Pathcruiser","{3}","","Artifact — Vehicle","6","5","Javier Charro","Crew,Exhaust","When this Vehicle enters, search your library for a basic land card, reveal it, put it into your hand, then shuffle.\nExhaust — {W}{U}{B}{R}{G}: This Vehicle becomes an artifact creature. Put two +1/+1 counters on it. (Activate each exhaust ability only once.)\nCrew 5",""
237,"Monument to Endurance","{3}","","Artifact","","","Victor Sales","Treasure","Whenever you discard a card, choose one that hasn't been chosen this turn —\n• Draw a card.\n• Create a Treasure token.\n• Each opponent loses 3 life.","Loss is not the end of the journey."
238,"Pit Automaton","{2}","","Artifact Creature — Construct","0","4","Villarrte","Defender","Defender\n{T}: Add {C}{C}. Spend this mana only to activate abilities.\n{2}, {T}: When you next activate an exhaust ability this turn, copy it. You may choose new targets for the copy.",""
239,"Racers' Scoreboard","{4}","","Artifact","","","Konstantin Porubov","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nWhen this artifact enters, draw two cards, then discard a card.\nMax speed — Spells you cast cost {1} less to cast.",""
240,"Radiant Lotus","{6}","","Artifact","","","Bruce Brenneise","","{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.","After devastation, hope bloomed."
241,"Rover Blades","{3}","","Artifact — Equipment Vehicle","2","2","Nathaniel Himawan","Crew,Double strike,Equip","Double strike\nEquipped creature has double strike.\nEquip {4}\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn. Creatures can't be attached to other permanents.)",""
242,"Scrap Compactor","{1}","","Artifact","","","Viko Menezes","","{3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature.\n{6}, {T}, Sacrifice this artifact: Destroy target creature or Vehicle.","From the screaming of Duskmourn's possessed metal came the happy cries of freed souls."
243,"Skybox Ferry","{5}","","Artifact — Vehicle","4","4","Borja Pindado","Crew,Cycling,Flying","Flying\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)\nCycling {2} ({2}, Discard this card: Draw a card.)",""
244,"Starting Column","{3}","","Artifact","","","Jakub Kasper","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\n{T}: Add one mana of any color.\nMax speed — {T}, Sacrifice this artifact: Draw two cards, then discard a card.","Ten teams. Ten dreams. One winner."
245,"Ticket Tortoise","{2}","","Artifact Creature — Turtle","3","1","Brian Valeza","Defender,Treasure","Defender\nWhen this creature enters, if an opponent controls more lands than you, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","""ADMIT ONE. ENJOY THE RACE."""
246,"Walking Sarcophagus","{2}","","Artifact Creature — Zombie Cat","2","1","Julia Metzger","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nMax speed — This creature gets +1/+2.","The warrior rose in a very different world from the one he'd left behind."
247,"Wreck Remover","{4}","","Artifact Creature — Construct","3","4","Villarrte","Cycling","Whenever this creature enters or attacks, exile up to one target card from a graveyard. You gain 1 life.\nCycling {2} ({2}, Discard this card: Draw a card.)","""Don't get too cocky. We're all junk to the cleanup crew.""\n—Far Fortune"
248,"Amonkhet Raceway","","","Land","","","Brian Valeza","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\n{T}: Add {C}.\nMax speed — {T}: Target creature gains haste until end of turn.","Stage 2: The sands and waters of Amonkhet."
249,"Avishkar Raceway","","","Land","","","Julian Kok Joon Wen","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\n{T}: Add {C}.\nMax speed — {3}, {T}, Discard a card: Draw a card.","Stage 1: The winding streets of Ghirapur."
250,"Bleachbone Verge","","","Land","","","Mark Tedin","","{T}: Add {B}.\n{T}: Add {W}. Activate only if you control a Plains or a Swamp.","""Despite being older than nearly every living thing here, Loot is still just a kid. That doesn't change what we need from him.""\n—Jace"
251,"Bloodfell Caves","","","Land","","","Ron Spencer","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {B} or {R}.","To the Endriders, racing is worship. Their prayers rise on the howls of straining engines. Explosions punctuate their chorus of shouts, forming a hymn of glory to the open road and all roads to come."
252,"Blossoming Sands","","","Land","","","Valera Lutfullina","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {G} or {W}.","The Alacrian Quickbeasts desire not only to win, but to forge new alliances against the unknown threats of this interconnected Multiverse."
253,"Country Roads","","","Land","","","Mark Poole","","This land enters tapped unless you control a Mount or Vehicle.\n{T}: Add {W}.\n{1}{W}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater."" Activate only as a sorcery.",""
254,"Dismal Backwater","","","Land","","","Sam Burley","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {U} or {B}.","The doomed souls of the Speed Demons race in uneasy unity, each one hoping to escape their own fate."
255,"Foul Roads","","","Land","","","Borja Pindado","","This land enters tapped unless you control a Mount or Vehicle.\n{T}: Add {B}.\n{1}{B}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater."" Activate only as a sorcery.",""
256,"Jungle Hollow","","","Land","","","Eddie Mendoza","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {B} or {G}.","When asked, the Speedbrood never put their motives into words; they simply say that velocity is their way of life. Only by becoming speed itself can one truly understand their reason for racing."
257,"Muraganda Raceway","","","Land","","","Brian Valeza","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\n{T}: Add {C}.\nMax speed — {T}: Add {C}{C}.","Stage 3: The steaming jungles of Muraganda under falling skies."
258,"Night Market","","","Land","","","David Álvarez","Cycling","This land enters tapped. As it enters, choose a color.\n{T}: Add one mana of the chosen color.\nCycling {3} ({3}, Discard this card: Draw a card.)","The Indigo Revolution changed more about Avishkar than just its name. Even Gonti's infamous night markets had gone legitimate."
259,"Reef Roads","","","Land","","","David Álvarez","","This land enters tapped unless you control a Mount or Vehicle.\n{T}: Add {U}.\n{1}{U}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater."" Activate only as a sorcery.",""
260,"Riverpyre Verge","","","Land","","","Titus Lunter","","{T}: Add {R}.\n{T}: Add {U}. Activate only if you control an Island or a Mountain.","""While Loot's ability to predict Omenpaths is extraordinary, I'm more impressed by his unrelenting curiosity.""\n—Pia Nalaar"
261,"Rocky Roads","","","Land","","","Arthur Yuan","","This land enters tapped unless you control a Mount or Vehicle.\n{T}: Add {R}.\n{1}{R}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater."" Activate only as a sorcery.",""
262,"Rugged Highlands","","","Land","","","Florian de Gesincourt","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {R} or {G}.","The Goblin Rocketeers want nothing more than to push the limits of kinetic energy and see if their machines can go the farthest, fastest, first."
263,"Scoured Barrens","","","Land","","","Eddie Mendoza","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {W} or {B}.","For the Champions of Amonkhet, the stakes go beyond victory. They race to show the Multiverse that their home is not a dead plane to be mourned, but a living world just beginning to awaken."
264,"Sunbillow Verge","","","Land","","","Pete Venters","","{T}: Add {W}.\n{T}: Add {R}. Activate only if you control a Mountain or a Plains.","""Loot is free to go where he wants, so let's make sure the kid gets there in one piece.""\n—Chandra Nalaar"
265,"Swiftwater Cliffs","","","Land","","","Mark Poole","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {U} or {R}.","The Keelhaulers channel their prey drive into thrilling, cutthroat pursuits. Glory is all the sweeter when it's won at the expense of others."
266,"Thornwood Falls","","","Land","","","Eddie Mendoza","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {G} or {U}.","The Indigo Revolution ousted the Consulate once and for all. Now the citizens of Avishkar cheer for the Aether Rangers as they try to bring victory and glory to their new nation."
